Dataset,N,Operação,Rodada,Tempo Real (ms),Tempo CPU (ms),Memória Pico (KB),Iterações
dados_10000.csv,10000,Linear,1,6.3672,6.359,0.63,10000
dados_10000.csv,10000,Linear,2,5.8738,5.852,0.15,10000
dados_10000.csv,10000,Linear,3,5.9686,5.875,0.15,10000
dados_10000.csv,10000,Linear,4,5.5178,5.515,0.15,10000
dados_10000.csv,10000,Linear,5,5.0535,5.048,0.15,10000
dados_10000.csv,10000,Binária,1,0.0176,0.017,0.59,14
dados_10000.csv,10000,Binária,2,0.0134,0.013,0.14,14
dados_10000.csv,10000,Binária,3,0.013,0.012,0.14,14
dados_10000.csv,10000,Binária,4,0.0176,0.012,0.14,14
dados_10000.csv,10000,Binária,5,0.059,0.041,0.14,14
dados_50000.csv,50000,Linear,1,25.434,25.273,0.15,50000
dados_50000.csv,50000,Linear,2,25.364,25.342,0.15,50000
dados_50000.csv,50000,Linear,3,25.3368,25.32,0.15,50000
dados_50000.csv,50000,Linear,4,25.3551,25.318,0.15,50000
dados_50000.csv,50000,Linear,5,24.7668,24.754,0.15,50000
dados_50000.csv,50000,Binária,1,0.0224,0.023,0.14,16
dados_50000.csv,50000,Binária,2,0.0145,0.014,0.14,16
dados_50000.csv,50000,Binária,3,0.0148,0.014,0.14,16
dados_50000.csv,50000,Binária,4,0.0145,0.015,0.14,16
dados_50000.csv,50000,Binária,5,0.0145,0.013,0.14,16
dados_100000.csv,100000,Linear,1,52.6649,52.52,0.15,100000
dados_100000.csv,100000,Linear,2,52.108,52.09,0.15,100000
dados_100000.csv,100000,Linear,3,52.0276,51.994,0.15,100000
dados_100000.csv,100000,Linear,4,51.9628,51.933,0.15,100000
dados_100000.csv,100000,Linear,5,51.9107,51.867,0.15,100000
dados_100000.csv,100000,Binária,1,0.0249,0.024,0.14,17
dados_100000.csv,100000,Binária,2,0.0163,0.016,0.14,17
dados_100000.csv,100000,Binária,3,0.0157,0.015,0.14,17
dados_100000.csv,100000,Binária,4,0.0158,0.015,0.14,17
dados_100000.csv,100000,Binária,5,0.015,0.014,0.14,17
dados_250000.csv,250000,Linear,1,128.0179,127.818,0.15,250000
dados_250000.csv,250000,Linear,2,127.9445,127.895,0.15,250000
dados_250000.csv,250000,Linear,3,128.2439,128.182,0.15,250000
dados_250000.csv,250000,Linear,4,127.5952,127.532,0.15,250000
dados_250000.csv,250000,Linear,5,127.4423,127.381,0.15,250000
dados_250000.csv,250000,Binária,1,0.0295,0.03,0.14,18
dados_250000.csv,250000,Binária,2,0.0169,0.017,0.14,18
dados_250000.csv,250000,Binária,3,0.0168,0.016,0.14,18
dados_250000.csv,250000,Binária,4,0.0166,0.017,0.14,18
dados_250000.csv,250000,Binária,5,0.016,0.016,0.14,18
dados_500000.csv,500000,Linear,1,255.0165,254.749,0.15,500000
dados_500000.csv,500000,Linear,2,253.8386,253.704,0.15,500000
dados_500000.csv,500000,Linear,3,250.2506,250.111,0.15,500000
dados_500000.csv,500000,Linear,4,248.525,248.415,0.15,500000
dados_500000.csv,500000,Linear,5,250.5365,250.443,0.15,500000
dados_500000.csv,500000,Binária,1,0.03,0.029,0.14,19
dados_500000.csv,500000,Binária,2,0.0172,0.017,0.14,19
dados_500000.csv,500000,Binária,3,0.0172,0.017,0.14,19
dados_500000.csv,500000,Binária,4,0.017,0.016,0.14,19
dados_500000.csv,500000,Binária,5,0.0165,0.016,0.14,19
dados_750000.csv,750000,Linear,1,385.5018,385.219,0.15,750000
dados_750000.csv,750000,Linear,2,391.2755,391.127,0.15,750000
dados_750000.csv,750000,Linear,3,379.3814,379.224,0.15,750000
dados_750000.csv,750000,Linear,4,379.9505,379.676,0.15,750000
dados_750000.csv,750000,Linear,5,383.0973,382.933,0.15,750000
dados_750000.csv,750000,Binária,1,0.032,0.031,0.14,20
dados_750000.csv,750000,Binária,2,0.0187,0.02,0.14,20
dados_750000.csv,750000,Binária,3,0.0187,0.019,0.14,20
dados_750000.csv,750000,Binária,4,0.0177,0.017,0.14,20
dados_750000.csv,750000,Binária,5,0.0177,0.018,0.14,20
dados_1000000.csv,1000000,Linear,1,510.8245,510.462,0.15,1000000
dados_1000000.csv,1000000,Linear,2,500.6617,500.417,0.15,1000000
dados_1000000.csv,1000000,Linear,3,508.8956,508.651,0.15,1000000
dados_1000000.csv,1000000,Linear,4,508.5625,508.345,0.15,1000000
dados_1000000.csv,1000000,Linear,5,510.5307,510.278,0.15,1000000
dados_1000000.csv,1000000,Binária,1,0.0339,0.033,0.14,20
dados_1000000.csv,1000000,Binária,2,0.0191,0.018,0.14,20
dados_1000000.csv,1000000,Binária,3,0.0185,0.018,0.14,20
dados_1000000.csv,1000000,Binária,4,0.0177,0.017,0.14,20
dados_1000000.csv,1000000,Binária,5,0.0176,0.017,0.14,20
