Operação,N,Média Tempo (ms),Desvio Padrão Tempo,Média Memória (KB),Iterações
Busca Linear,10000,9.1692,0.136,0.16,10000
Busca Binária,10000,0.0285,0.0056,0.16,14
Busca Linear,50000,45.613,0.1943,0.14,50000
Busca Binária,50000,0.0312,0.0053,0.16,16
Busca Linear,100000,92.0013,0.3821,0.14,100000
Busca Binária,100000,0.0337,0.0062,0.16,17
Busca Linear,250000,226.7653,0.8711,0.14,250000
Busca Binária,250000,0.0386,0.0137,0.16,18
Busca Linear,500000,460.5017,6.0454,0.14,500000
Busca Binária,500000,0.041,0.0156,0.16,19
Busca Linear,750000,683.5364,4.1307,0.14,750000
Busca Binária,750000,0.0435,0.0179,0.16,20
Busca Linear,1000000,925.0778,4.0985,0.14,1000000
Busca Binária,1000000,0.0451,0.0145,0.16,20
